Sensor,date,,,time,,,latitude,longitude,altitude,Satellite,Humidity,T (_C),colorTem,lux,???,???,R,G,B,clear,tail,,
S1,2020,6,18,22,38,4,45.422493,-71.866226,247.7,13,51.4,23.7,60,614.4,2109,8.50727,2093,1263,904,3920,OK,,
S2,2020,6,18,22,38,6,45.422504,-71.86647,248.7,13,51.4,23.7,60,614.4,1622,0.743734,319,159,123,486,OK,,
S3,2020,6,18,22,38,9,45.422527,-71.8666,248.7,13,51.4,23.7,60,614.4,5385,0.365343,71,58,54,92,UE,,
S4,2020,6,18,22,38,11,45.42263,-71.866707,248.7,13,51.5,23.7,60,614.4,3674,0.234863,51,37,32,87,UE,,
S5,2020,6,18,22,38,14,45.422741,-71.866714,246.3,13,51.6,23.7,60,614.4,6582,0.169623,23,23,21,49,UE,,
S2,2020,6,18,22,38,21,45.423096,-71.866669,243.10001,13,51.6,23.7,60,614.4,3663,0.391439,94,66,59,147,UE,,
S3,2020,6,18,22,38,23,45.423172,-71.866524,243,13,51.6,23.7,60,614.4,5627,1.122124,138,138,118,368,OK,,
S4,2020,6,18,22,38,26,45.423187,-71.866417,242.8,13,51.6,23.7,60,614.4,1690,3.601237,1249,656,483,2235,OK,,
S5,2020,6,18,22,38,28,45.423195,-71.86628,242.5,13,51.6,23.7,60,614.4,2166,0.208767,66,39,32,108,UE,,
S2,2020,6,18,22,38,36,45.42318,-71.865761,240.10001,13,51.6,23.7,60,614.4,1927,0.365343,134,75,63,213,UE,,
S3,2020,6,18,22,38,38,45.423183,-71.865509,240.10001,13,51.6,23.7,60,614.4,2579,0.482775,94,64,45,183,UE,,
S4,2020,6,18,22,38,41,45.423191,-71.865349,239.10001,13,51.6,23.7,60,614.4,1708,0.117432,55,29,25,77,UE,,
S5,2020,6,18,22,38,43,45.423191,-71.865196,238.60001,13,51.6,23.7,60,614.4,3161,0.13048,42,27,25,55,UE,,
S6,2020,6,18,22,38,46,45.423195,-71.865005,238.10001,13,51.5,23.6,60,614.4,1798,0.313151,108,59,46,184,UE,,
S1,2020,6,18,22,38,48,45.423199,-71.864952,237.89999,13,51.5,23.6,60,614.4,2185,1.878906,537,321,256,913,OK,,
S2,2020,6,18,22,38,50,45.423218,-71.864853,237.60001,13,51.5,23.6,60,614.4,1775,0.300103,109,59,47,179,UE,,
S3,2020,6,18,22,38,53,45.423267,-71.864777,237.5,13,51.6,23.7,60,614.4,2438,0.835069,248,152,129,423,OK,,
S1,2020,6,18,22,39,3,45.423828,-71.864716,232.89999,13,51.5,23.6,60,614.4,1624,1.552707,619,298,205,1057,OK,,
S2,2020,6,18,22,39,5,45.423927,-71.864662,233.8,13,51.4,23.6,60,614.4,1620,4.266683,1802,890,673,3173,OK,,
S5,2020,6,18,22,39,12,45.423965,-71.864128,231.89999,13,51.5,23.6,60,614.4,3630,0.156576,40,28,25,58,UE,,
S1,2020,6,18,22,39,17,45.423874,-71.863777,230.5,13,51.5,23.6,60,614.4,2162,0.50887,177,103,89,304,UE,,
S2,2020,6,18,22,39,20,45.423779,-71.863739,230.5,13,51.5,23.6,60,614.4,2507,0.378391,277,111,76,448,UE,,
S4,2020,6,18,22,39,25,45.423481,-71.863693,231.3,13,51.6,23.6,60,614.4,3988,0.274007,311,107,63,447,UE,,
S6,2020,6,18,22,39,30,45.423153,-71.863678,234.2,13,51.6,23.6,60,614.4,1631,0.430583,137,63,29,225,UE,,
S2,2020,6,18,22,39,35,45.42289,-71.863571,234.5,13,51.6,23.6,60,614.4,2046,0.182671,59,34,28,88,UE,,
S3,2020,6,18,22,39,37,45.422806,-71.86348,235.5,13,51.6,23.5,60,614.4,2644,0.300103,82,52,44,116,UE,,
S4,2020,6,18,22,39,39,45.422729,-71.863297,234.7,13,51.6,23.6,60,614.4,3022,1.291748,921,315,135,1433,OK,,
S5,2020,6,18,22,39,42,45.422729,-71.863152,233.89999,13,51.6,23.6,60,614.4,1650,0.247911,84,43,29,129,UE,,
S6,2020,6,18,22,39,44,45.422768,-71.862961,233.60001,13,51.6,23.6,60,614.4,1659,1.187364,386,171,72,644,UE,,
S2,2020,6,18,22,39,49,45.422878,-71.862694,233,13,51.6,23.5,60,614.4,1754,0.587158,258,113,67,392,UE,,
S3,2020,6,18,22,39,52,45.422958,-71.862656,232.5,13,51.6,23.5,60,614.4,1937,0.57411,168,96,72,236,UE,,
S4,2020,6,18,22,39,54,45.423107,-71.862648,232.5,13,51.6,23.5,60,614.4,1667,0.221815,99,46,32,140,UE,,
S2,2020,6,18,22,40,4,45.423615,-71.86264,227.7,13,51.6,23.5,60,614.4,1804,0.300103,112,61,50,167,UE,,
