Sensor,date,,,time,,,latitude,longitude,altitude,Satellite,Humidity,T (_C),colorTem,lux,???,???,R,G,B,clear,tail,MSI,SLI,,
S1,2020,5,5,22,58,41,45.445385,-71.927567,147,20,48.6,5.4,60,614.4,3677,0.195719,43,31,27,84,UE,0.396,0.531,,
S2,2020,5,5,22,58,43,45.445107,-71.927246,147,20,48.6,5.4,60,614.4,2225,0.50887,233,132,128,293,OK,0.278,0.398,,
S4,2020,5,5,22,58,48,45.444725,-71.926804,147,20,48.7,5.4,60,614.4,1796,0.887261,339,184,153,533,OK,0.257,0.412,,
S5,2020,5,5,22,58,51,45.444424,-71.92646,147.10001,20,48.7,5.4,60,614.4,2276,7.620008,1861,1155,866,3266,OK,0.302,0.471,,
S6,2020,5,5,22,58,53,45.444233,-71.926231,147.10001,20,48.7,5.4,60,614.4,2003,0.182671,167,78,74,257,UE,0.177,0.301,,
S1,2020,5,5,22,58,56,45.443932,-71.925888,146.89999,20,48.7,5.4,60,614.4,3907,0.182671,37,28,24,75,UE,0.416,0.551,,
S2,2020,5,5,22,58,58,45.443737,-71.925667,146.8,20,48.8,5.5,60,614.4,2077,1.539659,884,367,237,1441,OK,0.149,0.308,,
S3,2020,5,5,22,59,1,45.443439,-71.925323,146.7,20,48.8,5.4,60,614.4,1713,0.221815,130,61,50,203,UE,0.193,0.346,,
S4,2020,5,5,22,59,3,45.443241,-71.925095,146.89999,20,48.8,5.4,60,614.4,1841,0.782878,303,166,141,477,OK,0.262,0.414,,
S5,2020,5,5,22,59,5,45.44294,-71.924751,146.7,20,48.8,5.4,60,614.4,2247,2.987983,906,541,451,1568,OK,0.301,0.455,,
S6,2020,5,5,22,59,8,45.442738,-71.924515,146.60001,20,48.9,5.4,60,614.4,42683,0.013048,367,148,154,525,OK,0.073,0.157,,
S1,2020,5,5,22,59,10,45.442436,-71.924171,146.60001,20,48.9,5.4,60,614.4,2555,0.313151,78,50,40,141,UE,0.328,0.486,,
S2,2020,5,5,22,59,13,45.442226,-71.923935,146.7,14,48.9,5.4,60,614.4,1635,0.443631,216,104,81,365,UE,0.203,0.364,,
S3,2020,5,5,22,59,15,45.442017,-71.923698,146.39999,15,48.9,5.4,60,614.4,1790,0.835069,484,221,174,790,OK,0.182,0.339,,
S4,2020,5,5,22,59,18,45.441711,-71.923355,147.10001,20,49,5.4,60,614.4,1774,0.991645,374,202,165,596,OK,0.253,0.412,,
S5,2020,5,5,22,59,20,45.441517,-71.923119,147.39999,20,49,5.4,60,614.4,2095,12.787001,2994,1816,1248,5466,OK,0.276,0.454,,
S6,2020,5,5,22,59,23,45.441231,-71.922783,147.89999,20,49,5.4,60,614.4,2637,0.365343,385,171,159,579,OK,0.156,0.281,,
S2,2020,5,5,22,59,28,45.440762,-71.922249,148.3,20,49.1,5.4,60,614.4,1646,0.182671,80,41,33,135,UE,0.230,0.389,,
S3,2020,5,5,22,59,30,45.440567,-71.922012,148.3,20,49.1,5.4,60,614.4,1874,0.208767,70,39,31,111,UE,0.265,0.427,,
S4,2020,5,5,22,59,32,45.440269,-71.921661,148.5,20,49.2,5.4,60,614.4,1794,4.566786,2192,963,626,3619,OK,0.162,0.329,,
S5,2020,5,5,22,59,35,45.440063,-71.921425,148.60001,20,49.2,5.4,60,614.4,5105,0.665446,98,88,76,230,UE,0.494,0.614,,
S6,2020,5,5,22,59,37,45.439762,-71.921074,148.60001,20,49.2,5.4,60,614.4,1648,0.247911,201,100,100,305,OK,0.202,0.313,,
S2,2020,5,5,22,59,42,45.43935,-71.920601,148.60001,20,49.3,5.4,60,614.4,2614,0.587158,444,177,123,720,OK,0.142,0.291,,
S3,2020,5,5,22,59,45,45.439041,-71.920235,148.60001,20,49.4,5.4,60,614.4,1940,0.208767,67,38,30,109,UE,0.272,0.435,,
S4,2020,5,5,22,59,47,45.438831,-71.919991,148.5,20,49.4,5.4,60,614.4,1950,1.630995,527,299,239,894,OK,0.273,0.435,,
S5,2020,5,5,22,59,50,45.438519,-71.919624,148.89999,20,49.5,5.5,60,614.4,6096,0.260959,39,36,33,77,UE,0.520,0.622,,
S1,2020,5,5,22,59,54,45.438,-71.919044,149.7,20,49.5,5.4,60,614.4,1952,4.879937,1241,722,495,2196,OK,0.260,0.439,,
