# Les lignes C, R, G ou B etait < ou = 20 ont ete effacees
Sensor,date,,,time,,,latitude,longitude,altitude,Satellite,Humidity,T (_C),colorTem,lux,???,???,R,G,B,clear,tail,MSI,SLI,
S3,2020,6,10,22,42,7,45.426075,-71.875793,242.5,14,56.5,19.5,60,614.4,3210,0.626302,181,118,108,263,OK,,,
S4,2020,6,10,22,42,10,45.426079,-71.875549,242.5,14,56.5,19.5,60,614.4,2178,0.169623,64,37,33,81,UE,,,
S4,2020,6,10,22,42,24,45.426067,-71.874527,245.3,14,56.6,19.4,60,614.4,1850,0.182671,93,40,25,137,UE,,,
S5,2020,6,10,22,42,27,45.426048,-71.874474,245.2,14,56.7,19.5,60,614.4,1674,4.840793,980,511,160,1759,OK,,,
S4,2020,6,10,22,42,39,45.425549,-71.874573,245,13,56.7,19.4,60,614.4,3095,3.90134,2806,941,375,4269,OK,,,
S5,2020,6,10,22,42,42,45.425457,-71.87471,244.5,14,56.7,19.4,60,614.4,1664,3.588189,758,391,131,1449,OK,,,
S4,2020,6,10,22,42,54,45.425076,-71.875389,244.89999,14,56.8,19.5,60,614.4,1812,7.554768,2734,1098,363,4521,OK,,,
S5,2020,6,10,22,42,56,45.425007,-71.875519,245.5,14,56.8,19.5,60,614.4,1744,0.247911,72,39,25,111,UE,,,
S1,2020,6,10,22,43,1,45.424908,-71.875854,247.60001,14,56.8,19.4,60,614.4,1735,2.479112,452,249,76,841,UE,,,
S2,2020,6,10,22,43,4,45.424923,-71.876007,247.3,14,56.8,19.4,60,614.4,1838,0.247911,116,49,27,176,UE,,,
S4,2020,6,10,22,43,9,45.425045,-71.876099,248.7,14,56.8,19.4,60,614.4,1637,0.221815,118,57,46,178,UE,,,
S5,2020,6,10,22,43,11,45.425137,-71.876106,248.8,13,56.8,19.4,60,614.4,3925,0.260959,79,53,51,101,UE,,,
S6,2020,6,10,22,43,13,45.425259,-71.876137,248.8,13,56.8,19.4,60,614.4,1657,0.600206,223,115,86,376,UE,,,
S1,2020,6,10,22,43,16,45.425323,-71.876198,247.89999,13,56.8,19.4,60,614.4,1620,3.040175,1199,591,424,2012,OK,,,
S2,2020,6,10,22,43,18,45.425385,-71.876404,247.60001,13,56.8,19.4,60,614.4,1643,0.182671,88,42,32,139,UE,,,
S4,2020,6,10,22,43,23,45.425388,-71.876709,247.7,12,56.8,19.4,60,614.4,1858,0.404487,223,98,69,351,UE,,,
S5,2020,6,10,22,43,26,45.425396,-71.87693,247.39999,13,56.8,19.4,60,614.4,2567,0.260959,83,51,45,114,UE,,,
S6,2020,6,10,22,43,28,45.425407,-71.877045,247.2,12,56.8,19.4,60,614.4,1935,0.652398,181,104,75,315,UE,,,
S1,2020,6,10,22,43,31,45.425411,-71.877167,247.10001,13,56.8,19.4,60,614.4,2498,1.317844,331,210,168,574,OK,,,
S2,2020,6,10,22,43,33,45.425373,-71.877182,246.7,13,56.8,19.4,60,614.4,1620,0.208767,95,47,37,146,UE,,,
S3,2020,6,10,22,43,35,45.425346,-71.877106,246.8,12,56.8,19.4,60,614.4,1642,0.378391,167,79,56,274,UE,,,
S4,2020,6,10,22,43,38,45.425362,-71.877029,246.8,13,56.8,19.4,60,614.4,1650,0.169623,72,37,30,106,UE,,,
S2,2020,6,10,22,43,48,45.425373,-71.876335,246.7,14,56.9,19.4,60,614.4,2157,0.13048,54,31,28,76,UE,,,
S3,2020,6,10,22,43,50,45.425327,-71.876205,247.3,14,56.9,19.4,60,614.4,1714,0.117432,51,27,22,80,UE,,,
S4,2020,6,10,22,43,53,45.425194,-71.876144,247.89999,14,56.9,19.4,60,614.4,2126,0.169623,102,42,27,148,UE,,,
S4,2020,6,10,22,44,7,45.424347,-71.876129,251.2,13,57,19.3,60,614.4,3542,0.561062,125,89,77,217,UE,,,
S4,2020,6,10,22,44,22,45.423615,-71.876129,260,13,57,19.3,60,614.4,1737,2.139865,745,399,305,1322,OK,,,
S5,2020,6,10,22,44,24,45.423515,-71.876129,261.39999,13,57,19.3,60,614.4,2446,0.208767,66,40,35,95,UE,,,
