# Les lignes C, R, G ou B etait < ou = 20 ont ete effacees
Sensor,date,,,time,,,latitude,longitude,altitude,Satellite,Humidity,T (_C),colorTem,lux,???,???,R,G,B,clear,tail,MSI,SLI,,
S4,2020,4,25,22,38,54,45.398064,-71.886513,153,14,33.4,8.6,60,614.4,8801,854.45868,1071,298,236,1491,OK,0.11,0.11,,
S5,2020,4,25,22,38,56,45.397987,-71.886467,152.89999,14,33.5,8.6,60,614.4,1621,0.613254,264,129,96,434,UE,0.21,0.37,,
S6,2020,4,25,22,38,58,45.397915,-71.886429,153,14,33.5,8.6,60,614.4,1885,1.670139,421,241,158,754,OK,0.24,0.43,,
S1,2020,4,25,22,39,1,45.397839,-71.886383,152.5,14,33.5,8.6,60,614.4,2226,10.947238,2037,1322,801,3902,OK,0.27,0.45,,
S2,2020,4,25,22,39,3,45.39782,-71.886375,152.39999,14,33.5,8.5,60,614.4,2681,0.70459,571,230,168,919,OK,0.14,0.29,,
S3,2020,4,25,22,39,6,45.397789,-71.88636,152.3,14,33.5,8.5,60,153.6,1932,44.154297,2608,1523,971,4805,OK,0.25,0.43,,
S4,2020,4,25,22,39,8,45.39772,-71.886322,152.89999,14,33.5,8.5,60,614.4,1640,8.546414,3172,1614,1178,5589,OK,0.22,0.39,,
S5,2020,4,25,22,39,10,45.397633,-71.886261,153,14,33.5,8.5,60,614.4,1839,14.222275,4763,2631,2071,7956,OK,0.26,0.42,,
S6,2020,4,25,22,39,12,45.397537,-71.886208,153.8,14,33.5,8.5,60,614.4,1658,3.757813,1242,640,435,2145,OK,0.21,0.39,,
S1,2020,4,25,22,39,14,45.397423,-71.886147,154.2,14,33.5,8.5,60,614.4,2851,2.531304,610,404,335,1063,OK,0.35,0.5,,
S2,2020,4,25,22,39,17,45.397266,-71.886055,154.8,14,33.5,8.4,60,614.4,3882,0.665446,796,302,228,1237,OK,0.13,0.26,,
S3,2020,4,25,22,39,19,45.397171,-71.886002,154.39999,14,33.6,8.5,60,153.6,1888,2.348633,191,107,84,329,UE,0.27,0.43,,
S4,2020,4,25,22,39,21,45.397072,-71.885933,154.5,14,33.6,8.5,60,614.4,1622,4.710313,1699,839,562,3061,OK,0.2,0.38,,
S5,2020,4,25,22,39,23,45.396969,-71.88588,154.8,14,33.5,8.5,60,614.4,1724,0.391439,133,71,52,229,UE,0.24,0.41,,
S6,2020,4,25,22,39,26,45.396812,-71.885796,154.8,14,33.5,8.4,60,614.4,2041,1.109077,287,170,122,521,OK,0.28,0.45,,
S1,2020,4,25,22,39,28,45.396713,-71.885735,155.3,14,33.5,8.4,60,614.4,1962,15.592312,3699,2176,1418,6810,OK,0.25,0.44,,
S2,2020,4,25,22,39,31,45.396576,-71.885658,155.2,14,33.5,8.4,60,614.4,1818,12.565185,3540,1968,1358,6533,OK,0.24,0.42,,
S3,2020,4,25,22,39,33,45.396481,-71.885605,155.10001,14,33.6,8.4,60,614.4,1649,0.652398,242,124,91,408,UE,0.22,0.39,,
