Sensor,date,,,time,,,latitude,longitude,altitude,Satellite,Humidity,T (_C),colorTem,lux,???,???,R,G,B,clear,tail,MSI,SLI,,,,
S6,2020,4,18,22,19,54,45.419727,-71.864288,269.29999,12,38.8,8.5,60,614.4,1896,0.104384,28,16,11,48,UE,0.25,0.43,,,,
S1,2020,4,18,22,19,57,45.419857,-71.864204,268,13,38.8,8.5,60,614.4,1866,0.026096,9,5,4,16,UE,0.26,0.43,,,,
S2,2020,4,18,22,19,59,45.419945,-71.864159,266.5,13,38.8,8.5,60,614.4,1846,0.57411,303,133,92,486,UE,0.17,0.33,,,,
S3,2020,4,18,22,20,2,45.420067,-71.86409,266.5,13,38.8,8.5,60,614.4,5945,3.288086,271,342,273,909,OK,0.6,0.7,,,,
S4,2020,4,18,22,20,4,45.420151,-71.864037,263.39999,12,38.8,8.5,60,614.4,1696,1.265652,572,261,176,969,OK,0.18,0.35,,,,
S5,2020,4,18,22,20,7,45.420235,-71.863998,261.89999,12,38.8,8.5,60,614.4,2077,0.939453,304,176,146,517,OK,0.29,0.44,,,,
S6,2020,4,18,22,20,9,45.420372,-71.86393,259.70001,12,38.8,8.4,60,614.4,1642,1.709283,580,295,199,981,OK,0.21,0.39,,,,
S1,2020,4,18,22,20,12,45.420464,-71.863876,258.70001,12,38.8,8.5,60,614.4,2539,1.317844,313,202,158,571,OK,0.33,0.49,,,,
S2,2020,4,18,22,20,14,45.420601,-71.8638,256.10001,12,38.8,8.4,60,614.4,1625,1.996338,747,373,263,1304,OK,0.21,0.38,,,,
S3,2020,4,18,22,20,16,45.420689,-71.863762,256.29999,12,38.8,8.4,60,614.4,4550,1.161268,176,152,127,444,OK,0.47,0.6,,,,
S4,2020,4,18,22,20,19,45.420834,-71.863686,254.89999,13,38.8,8.4,60,614.4,1637,1.891954,864,413,309,1439,OK,0.2,0.36,,,,
S5,2020,4,18,22,20,21,45.420933,-71.863663,254.2,12,38.8,8.4,60,614.4,2831,1.056885,287,185,160,566,OK,0.34,0.48,,,,
S6,2020,4,18,22,20,24,45.421085,-71.863663,254.2,12,38.8,8.4,60,614.4,2274,0.091336,30,18,15,50,UE,0.3,0.46,,,,
S1,2020,4,18,22,20,26,45.421177,-71.863678,253.5,12,38.8,8.3,60,614.4,2910,0.026096,9,6,5,18,UE,0.35,0.5,,,,
S2,2020,4,18,22,20,29,45.421299,-71.863701,251.3,13,38.8,8.4,60,614.4,1800,0.587158,213,116,94,349,UE,0.26,0.42,,,,
S3,2020,4,18,22,20,31,45.42136,-71.863724,249.60001,13,38.8,8.3,60,614.4,2341,0.835069,198,125,93,405,UE,0.31,0.48,,,,
S4,2020,4,18,22,20,34,45.421417,-71.863739,248.39999,13,38.8,8.3,60,614.4,2432,1.056885,611,226,105,951,OK,0.12,0.25,,,,
S5,2020,4,18,22,20,36,45.421528,-71.863777,246.60001,12,38.8,8.3,60,614.4,1632,10.529703,2445,1206,413,4309,OK,0.07,0.24,,,,
S6,2020,4,18,22,20,38,45.421619,-71.863823,246,12,38.9,8.3,60,614.4,1809,0.195719,117,53,41,189,UE,0.18,0.34,,,,
S1,2020,4,18,22,20,41,45.421768,-71.863892,245.60001,12,38.8,8.3,60,614.4,4387,2.49216,3514,1319,1024,5339,OK,0.12,0.25,,,,
S2,2020,4,18,22,20,43,45.421864,-71.863945,245.60001,12,38.9,8.3,60,614.4,4370,1.069933,1527,581,463,2443,OK,0.12,0.25,,,,
S3,2020,4,18,22,20,46,45.422005,-71.864014,244.5,13,38.9,8.3,60,614.4,1706,0.326199,123,65,51,207,UE,0.24,0.41,,,,
S4,2020,4,18,22,20,48,45.4221,-71.864075,244.3,13,38.8,8.2,60,614.4,1722,0.260959,90,48,35,147,UE,0.24,0.41,,,,
S5,2020,4,18,22,20,51,45.42223,-71.864166,244.3,13,38.8,8.2,60,614.4,2437,0.247911,63,40,31,111,UE,0.32,0.48,,,,
S6,2020,4,18,22,20,53,45.42231,-71.86425,242.89999,13,38.9,8.2,60,614.4,1752,0.234863,72,39,27,124,UE,0.24,0.41,,,,
S1,2020,4,18,22,20,56,45.422375,-71.864304,242.2,13,38.8,8.2,60,614.4,1621,9.564154,3281,1611,1016,5581,OK,0.19,0.37,,,,
S2,2020,4,18,22,20,58,45.422489,-71.86441,241,13,38.9,8.2,60,614.4,1704,6.471788,2817,1271,813,4844,OK,0.17,0.34,,,,
S3,2020,4,18,22,21,1,45.422573,-71.864471,240.60001,14,38.9,8.2,60,614.4,1924,0.143528,44,25,19,79,UE,0.27,0.44,,,,
S4,2020,4,18,22,21,3,45.422695,-71.864555,240.10001,13,38.8,8.1,60,614.4,2131,0.182671,58,34,28,89,UE,0.29,0.45,,,,
S5,2020,4,18,22,21,5,45.422787,-71.864609,240.10001,13,38.9,8.1,60,614.4,3406,0.052192,21,13,13,28,UE,0.33,0.43,,,,
S6,2020,4,18,22,21,8,45.422935,-71.864662,239.39999,13,38.9,8.1,60,614.4,4380,0.013048,6,4,4,9,UE,0.37,0.47,,,,
S1,2020,4,18,22,21,10,45.423031,-71.864693,240.5,13,38.9,8.1,60,614.4,3007,0,5,3,3,8,UE,0.31,0.42,,,,
