Capteurs,Date,,,Heure,,,Longitude,Latitude,Altitude,,,,,,,,R,G,B,Clear,,,,,,,,,
S1,2019,10,30,4,49,7,45.380936,-71.923805,262.29999,24,68,10.9,60,614.4,2407,8.990045,1875,1223,864,3573,OK,,,,,,,,
S2,2019,10,30,4,49,10,45.380936,-71.923805,262.29999,24,68,10.9,60,614.4,1622,10.712375,3943,1892,1208,6930,OK,,,,,,,,
S1,2019,10,30,4,53,32,45.380936,-71.92379,263.39999,25,66.3,10.9,60,614.4,2382,8.676893,1870,1207,864,3629,OK,,,,,,,,
S2,2019,10,30,4,53,34,45.380936,-71.92379,263.29999,25,68.4,10.8,60,614.4,1621,4.175347,1520,731,464,2681,OK,,,,,,,,
S1,2019,10,30,4,53,38,45.380936,-71.92379,263.29999,24,68.4,10.8,60,614.4,0,0,0,0,0,0,OK,,,,,,,,
S2,2019,10,30,4,53,41,45.380932,-71.92379,263.20001,25,68.4,10.8,60,614.4,1621,9.994737,3617,1741,1103,6373,OK,3612.25,1738,1102,,UDeS Parking inconnu,,,
S1,2019,10,30,4,53,44,0,0,0,0,68.3,10.8,60,614.4,0,0,0,0,0,0,OK,,,,,,,,
S2,2019,10,30,4,53,47,45.380932,-71.92379,263.10001,25,68.3,10.7,60,614.4,1621,9.942545,3613,1737,1102,6356,OK,,,,,,,,
S1,2019,10,30,4,53,50,45.380932,-71.92379,263,25,68.2,10.8,60,614.4,0,0,0,0,0,0,OK,,,,,,,,
S2,2019,10,30,4,53,54,45.380932,-71.92379,263,25,68.2,10.8,60,614.4,1621,9.942545,3605,1735,1100,6353,OK,,,,,,,,
S1,2019,10,30,4,53,57,45.380932,-71.92379,263,25,68.1,10.8,60,614.4,0,0,0,0,0,0,OK,,,,,,,,
S2,2019,10,30,4,54,0,0,0,0,0,68.1,10.8,60,614.4,1621,9.968641,3614,1739,1103,6368,OK,,,,,,,,
S1,2019,10,30,4,54,3,45.380932,-71.92379,262.89999,25,68.1,10.8,60,614.4,0,0,0,0,0,0,OK,,,,,,,,
S2,2019,10,30,4,54,7,45.380932,-71.92379,262.89999,25,68.1,10.8,60,614.4,1621,10.033881,3632,1749,1109,6407,OK,,,,,,,,
S1,2019,10,30,4,54,10,45.380932,-71.92379,262.89999,25,68,10.8,60,614.4,2377,7.946208,1713,1105,790,3326,OK,,,,,,,,
S2,2019,10,30,4,54,13,45.380932,-71.92379,263,25,68,10.8,60,614.4,1622,10.255697,3764,1809,1157,6620,OK,,,,,,,,
S1,2019,10,30,4,54,16,45.380932,-71.923798,263,25,68,10.8,60,614.4,2382,8.742133,1878,1213,867,3643,OK,,,,,,,,
S2,2019,10,30,4,54,19,45.380932,-71.923798,263,25,67.9,10.7,60,614.4,1620,11.573541,4174,2042,1340,7328,OK,,,,,,,,
S1,2019,10,30,5,8,30,45.384918,-71.926262,236.2,20,64.7,10.8,60,614.4,2698,2.205105,1850,756,578,2985,OK,,,,,,,,
S2,2019,10,30,5,8,32,45.384918,-71.92627,236.2,21,66.4,10.8,60,614.4,1792,6.654459,3055,1643,1490,5193,OK,,,,3057.75,1645.75,1491.75,,Tetreault
S1,2019,10,30,5,8,36,45.384918,-71.92627,236.10001,20,66.4,10.7,60,614.4,0,0,0,0,0,0,OK,,,,,,,,
S2,2019,10,30,5,8,39,45.384918,-71.92627,236.10001,21,66.4,10.7,60,614.4,1798,6.732747,3069,1653,1498,5209,OK,,,,,,,,
S1,2019,10,30,5,8,42,45.384918,-71.92627,236,21,66.4,10.7,60,614.4,0,0,0,0,0,0,OK,,,,,,,,
S2,2019,10,30,5,8,45,45.384918,-71.92627,235.89999,21,66.5,10.7,60,614.4,1797,6.719699,3070,1653,1498,5211,OK,,,,,,,,
S1,2019,10,30,5,8,48,45.384926,-71.92627,235.8,20,66.4,10.7,60,614.4,0,0,0,0,0,0,OK,,,,,,,,
S2,2019,10,30,5,8,52,45.384926,-71.92627,235.7,21,66.5,10.7,60,614.4,1794,6.641411,3037,1634,1481,5160,OK,,,,,,,,
S1,2019,10,30,5,8,55,45.384926,-71.92627,235.60001,21,66.5,10.7,60,614.4,0,0,0,0,0,0,OK,,,,,,,,
S2,2019,10,30,5,8,58,45.384926,-71.92627,235.5,21,66.5,10.7,60,614.4,1812,6.276068,2799,1513,1363,4819,OK,,,,,,,,
