Sensor,date,,,time,,,latitude,longitude,altitude,Satellite,Humidity,T (_C),colorTem,lux,???,???,R,G,B,clear,tail,MSI,SLI,,
S6,2020,5,12,23,1,47,45.474312,-71.945313,145.60001,13,33.6,10.8,60,614.4,1682,0.221815,113,59,53,176,UE,2.39E-01,3.79E-01,,
S1,2020,5,12,23,1,49,45.474361,-71.945137,143.7,13,33.6,10.8,60,614.4,2109,7.86792,4591,1900,1236,7330,OK,1.49E-01,3.07E-01,,
S2,2020,5,12,23,1,52,45.47438,-71.945015,144.39999,13,33.5,10.7,60,614.4,1719,5.193088,2401,1086,732,4109,OK,1.73E-01,3.42E-01,,
S3,2020,5,12,23,1,54,45.474403,-71.944893,145.7,13,33.5,10.7,60,614.4,1622,0.456679,189,94,70,302,UE,2.12E-01,3.81E-01,,
S4,2020,5,12,23,1,57,45.474415,-71.944817,146.8,13,33.6,10.7,60,614.4,1971,5.37576,3072,1319,918,5064,OK,1.60E-01,3.21E-01,,
S5,2020,5,12,23,1,59,45.474468,-71.944641,146.7,13,33.6,10.7,60,614.4,2265,2.609592,777,466,387,1503,OK,3.03E-01,4.57E-01,,
S6,2020,5,12,23,2,2,45.474522,-71.944534,144.89999,13,33.5,10.6,60,614.4,5567,0.182671,438,179,172,646,OK,1.08E-01,2.17E-01,,
S1,2020,5,12,23,2,4,45.474625,-71.944366,144.89999,13,33.5,10.6,60,614.4,2056,0.70459,246,141,120,430,OK,2.84E-01,4.34E-01,,
S2,2020,5,12,23,2,7,45.474689,-71.944298,148.8,13,33.6,10.6,60,614.4,2709,0.378391,307,123,89,479,UE,1.43E-01,2.90E-01,,
S3,2020,5,12,23,2,9,45.474796,-71.944145,151.10001,13,33.6,10.6,60,614.4,1786,0.57411,338,155,124,536,OK,1.84E-01,3.39E-01,,
S4,2020,5,12,23,2,12,45.47488,-71.944061,151.5,13,33.6,10.6,60,614.4,2267,3.470757,2219,906,606,3584,OK,1.47E-01,3.02E-01,,
