Sensor,date,,,time,,,latitude,longitude,altitude,Satellite,Humidity,T (_C),colorTem,lux,???,???,R,G,B,clear,tail,MSI,SLI,
S3,2020,6,9,22,47,49,45.419086,-71.910294,168.89999,12,51.3,16.2,60,614.4,1839,8.37679,4255,1858,1242,6896,OK,,,
S4,2020,6,9,22,47,51,45.419212,-71.910378,166.2,12,51.3,16.2,60,614.4,2478,0.913357,559,209,106,870,OK,,,
S5,2020,6,9,22,47,54,45.419365,-71.910431,166.89999,11,51.4,16.1,60,614.4,1689,5.75415,1178,623,218,2161,OK,,,
S6,2020,6,9,22,47,56,45.419403,-71.910446,167,12,51.5,16.1,60,614.4,1814,1.304796,526,218,99,857,UE,,,
S2,2020,6,9,22,48,1,45.419487,-71.910637,168.89999,11,51.7,16.1,60,614.4,1750,1.448323,614,328,283,931,OK,,,
S3,2020,6,9,22,48,4,45.419472,-71.910828,170.39999,12,51.7,16.1,60,614.4,1661,0.456679,187,86,54,318,UE,,,
S4,2020,6,9,22,48,6,45.419449,-71.910957,171.3,12,51.7,16.1,60,614.4,2006,2.257297,1310,559,388,1976,OK,,,
S5,2020,6,9,22,48,8,45.419403,-71.911201,174.10001,12,51.8,16.1,60,614.4,2109,0.247911,67,40,30,93,UE,,,
S6,2020,6,9,22,48,11,45.419365,-71.911362,176.7,12,51.8,16.1,60,614.4,1620,0.274007,85,41,21,140,UE,,,
S2,2020,6,9,22,48,16,45.419319,-71.911713,181.60001,12,51.7,16.1,60,614.4,2074,0.247911,162,70,53,242,UE,,,
S3,2020,6,9,22,48,18,45.419319,-71.911774,182.2,12,51.7,16.1,60,614.4,1644,1.004693,240,121,48,437,UE,,,
S4,2020,6,9,22,48,21,45.419361,-71.911888,182.2,11,51.7,16.1,60,614.4,2863,1.813666,1669,685,546,2673,OK,,,
S5,2020,6,9,22,48,23,45.419422,-71.911919,183.60001,11,51.7,16.1,60,614.4,1706,3.692573,1825,960,873,2895,OK,,,
S6,2020,6,9,22,48,26,45.419575,-71.911995,183.10001,11,51.7,16.1,60,614.4,1633,0.078288,49,24,21,76,UE,,,
S1,2020,6,9,22,48,28,45.419678,-71.912041,183.5,11,51.8,16.1,60,614.4,2510,1.552707,451,279,238,794,OK,,,
