S4,2020,3,10,23,1,40,45.421013,-71.872169,261.79999,12,35.8,16,60,614.4,0,0,0,0,0,1,UE,,,,,
S1,2020,3,10,23,1,42,45.421013,-71.872169,261.89999,12,35.8,16,614.4,2.4,4614,1867.4891,10998,9611,8025,27354,OK,,,,,
S4,2020,3,10,23,1,43,45.421017,-71.872169,261.89999,12,35.8,16,60,614.4,0,0,0,0,0,0,UE,,,,,
S1,2020,3,10,23,1,45,45.421017,-71.872169,261.89999,12,35.8,15.9,614.4,2.4,4636,1910.2213,11143,9789,8165,27765,OK,,,,,
S4,2020,3,10,23,1,47,45.421013,-71.872169,261.89999,12,35.8,15.9,60,614.4,0,0,0,0,0,1,UE,,,,,
S1,2020,3,10,23,1,49,45.421013,-71.872169,261.79999,12,35.8,15.9,614.4,2.4,4590,1808.4471,10690,9315,7771,26489,OK,,,,,
S4,2020,3,10,23,1,51,45.421013,-71.872169,261.60001,12,35.8,15.9,60,614.4,0,0,0,0,0,1,UE,,,,,
S1,2020,3,10,23,1,52,45.421009,-71.872177,262.89999,12,35.9,15.9,614.4,2.4,4601,1818.5592,10734,9365,7816,26625,OK,,,,,
S4,2020,3,10,23,1,54,45.421013,-71.872177,262.79999,12,35.9,15.9,60,614.4,0,0,0,0,0,0,UE,,,,,
S1,2020,3,10,23,3,13,45.421024,-71.872162,262.39999,12,35.9,15.9,614.4,2.4,4669,3562.4192,17505,16653,13225,44157,OE,,,,,
S4,2020,3,10,23,3,15,45.421028,-71.872162,262.60001,11,35.9,15.9,60,614.4,40274,852.39709,640,0,1,1658,UE,,,,,
S1,2020,3,10,23,3,16,45.421032,-71.872169,262.5,12,36.1,15.1,153.6,2.4,4670,14270.553,17501,16664,13229,44141,OE,,,,,
S4,2020,3,10,23,3,18,45.421032,-71.872169,262.5,12,36.1,15.1,60,614.4,40275,852.39709,641,0,1,1660,UE,,,,,
S1,2020,3,10,23,3,20,45.421032,-71.872169,262.60001,11,36.1,15.1,100.8,2.4,4669,21705.838,17483,16639,13211,44114,OE,,,,,
S4,2020,3,10,23,3,22,45.421032,-71.872169,262.5,11,36.1,15.1,60,614.4,41935,852.39709,649,2,1,1679,UE,,,,,
S1,2020,3,10,23,3,23,45.421028,-71.872169,262.39999,12,36.1,15.1,50.4,2.4,4669,43475.305,17494,16657,13222,44132,OE,,,,,
S4,2020,3,10,23,3,25,45.421028,-71.872177,262.29999,12,36.1,15.1,60,614.4,41955,852.44928,637,2,1,1646,UE,,,,,
S1,2020,3,10,23,3,27,45.421024,-71.872177,262.20001,12,36.1,15,24,2.4,4667,91415.047,17526,16681,13241,44221,OE,,,,,
S4,2020,3,10,23,3,29,45.421024,-71.872177,262.20001,12,36.1,15,60,614.4,40437,852.31879,660,1,2,1652,UE,,,,,
S1,2020,3,10,23,3,30,45.421024,-71.872177,262.29999,12,36.1,15,2.4,2.4,4615,914902.06,17570,16659,13162,44259,OE,,,,,
S4,2020,3,10,23,3,32,45.421024,-71.872169,262.29999,12,36.1,15,60,614.4,41815,851.54901,852,3,2,1825,UE,,,,,
S1,2020,3,10,23,3,34,45.421021,-71.872169,262.29999,12,36.1,15,0,2.4,4964,INF,14187,13701,11180,37607,OK,,,,,
S4,2020,3,10,23,3,36,45.421021,-71.872162,262.20001,12,36.1,15,60,614.4,41089,852.29272,670,1,1,1703,UE,,,,,
S1,2020,3,10,23,3,37,45.421017,-71.872162,262.10001,12,36.1,14.9,0,2.4,4950,INF,14243,13698,11188,37624,OK,,13696.75,,,
S4,2020,3,10,23,3,39,45.421013,-71.872162,262.10001,12,36.1,14.9,60,614.4,40257,852.46234,624,0,1,1602,UE,,11191.5,,,
S1,2020,3,10,23,3,41,45.421013,-71.872154,261.89999,12,36.1,14.9,0,2.4,4960,INF,14236,13709,11201,37695,OK,,,,,
S4,2020,3,10,23,3,43,45.421009,-71.872154,261.70001,12,36.1,14.9,60,614.4,40943,852.4754,624,0,0,1600,UE,,,,,
S1,2020,3,10,23,3,44,45.421009,-71.872154,261.60001,12,36.1,14.9,0,2.4,4954,INF,14264,13712,11207,37682,OK,,,,,
S4,2020,3,10,23,3,46,45.421009,-71.872154,261.60001,12,36.1,14.9,60,614.4,40943,852.4754,625,0,0,1605,UE,,,,,
