R,G,B,C,R/G,B/G,R/C,B/C,G/C,MSI,SLI,IPI,fname
153833010747.142,102258636710.27678,88852218893.11168,234732885555.27292,1.5043522551839585,0.8688969631469986,0.6553534686170707,0.43563830635992323,0.3785248014266391,0.32019046742954926,0.5375425756567901,0.9141286117108951,LSPDD/lampdump/Halo_A19_trilight_domestic-use_softwhite-color_Enersaver_Globe-brand_29W_120V_11.9Lum_2826K
15581727396.487898,11798759402.7175,6539129305.295713,34252803015.97797,1.3206242168900486,0.5542217687555876,0.4549037166161105,0.34446113496795316,0.19090785948949618,0.26807233764329796,0.44531564176492466,0.5604939651466454,LSPDD/lampdump/CFL_BR38_domestic-use_softwhite-color_EnerSaver_Globe-brand_23W_120V_52.1Lum_2700K
59731003888.027756,72974915505.30238,57831117123.73031,194410508017.5249,0.8185141904506581,0.7924793982053776,0.3072416429396058,0.37536507799631974,0.2974690911178381,0.5917686783829857,0.7415690503970948,0.6818006234056933,LSPDD/lampdump/LED_A19_domestic-use_coolwhite-color_Sylvania-brand_4W_120V_50Lum_5087K
215940009006.835,138601406012.96,119523519506.25002,325489816513.178,1.5579929180995713,0.8623543075390874,0.6634309218030245,0.42582409335484844,0.36721124115848003,0.30111140981057105,0.5115493675600697,0.9345186230296162,LSPDD/lampdump/INC_A19_domestic-use_softwhite-color_GE-brand_100W_120V_2670K_15.3Lum
2223039369.4451942,1490117502.739017,673560011.7290084,4429350592.565115,1.4918550821388097,0.45201805259714306,0.5018883294487179,0.33641895614229617,0.1520674414122044,0.15592769708607276,0.3824577904168324,0.5013447958885248,LSPDD/lampdump/CFL_R30_dim_domestic-use_softwhite-color_EnerSaver_Globe-brand_13W_2700K
76641123378.0175,81992150215.37672,59146200444.255585,222264836695.35336,0.93473732761852,0.7213641828991011,0.3448189309542716,0.368893934976134,0.26610687198049304,0.48619087999100435,0.6342388754827643,0.6267384013507058,LSPDD/lampdump/CFL_PAR30LNFlood_domestic-use_coolwhite-color_ELume-brand_15W_46.7Lum_120V_4100K_8000H
1221310154527.2,811796380671.8225,708498335740.8625,1872505398258.0376,1.5044538059118642,0.8727537503364168,0.6522331821651172,0.4335348680046658,0.3783691819526755,0.33834611376667534,0.5553049465952762,0.9441393759067214,LSPDD/lampdump/Halo_PAR30_domestic-use_softwhite-color_Globe-brand_75W_120V_11.5Lum_2865K
66069770201.537605,50683357169.1306,29152704965.17066,147991066294.15146,1.303579200191149,0.5751928560668929,0.446444314890031,0.3424757888316775,0.19698962711185466,0.28335634745737476,0.4908069807210893,0.6418419479667686,LSPDD/lampdump/LED_PAR20-Flood_domestic-use_softwhite-color_Philips-brand_8W_120V_58.8Lum_3000K
338182267417.825,267339848636.4975,194709278669.78748,703109438566.3375,1.2649901207868643,0.7283211973929635,0.4809809808660646,0.3802250886883441,0.2769259918723405,0.35458037865033465,0.5226753899002214,0.656641551690503,LSPDD/lampdump/LED_PAR38_dim_domestic-use_softwhite-color_Standard-brand_20W_120V_60Lum_3000K_25000H
349706768351.9818,289033505361.9578,188702515726.13718,842017955499.2212,1.2099177495496332,0.6528741901040997,0.4153198468845541,0.3432628763725041,0.22410747240450232,0.3522328133775934,0.5536994836549167,0.6397984498609666,LSPDD/lampdump/LED_WALL-002_domestic-use_softwhite-color_DALS-brand_7.5W_80Lum_3000K_120V
